site,ID,date,barr burden,barr prev
BMI,BMINEW,6,25,1
BMI,BMINEW,8,16,1
BMI,BMINEW,8,5,1
BMI,BMINEW,8,9,1
BMI,BMINEW,8,15,1
BMI,BMINEW,8,9,1
BMI,BMINEW,8,12,1
BMI,BMINEW,8,20,1
BMI,BMINEW,8,16,1
BMI,BMINEW,9,18,1
BMI,BMINEW,9,17,1
BMI,BMINEW,9,1,1
BMI,BMIOLD,1,0,0
BMI,BMIOLD,1,0,0
BMI,BMIOLD,2,15,1
BMI,BMIOLD,2,31,1
BMI,BMIOLD,5,0,0
BMI,BMIOLD,5,0,0
BMI,BMIOLD,5,2,1
BMI,BMIOLD,5,0,0
BMI,BMIOLD,7,3,1
BMI,BMIOLD,8,7,1
BMI,BMIOLD,8,1,1
BMI,BMIOLD,8,7,1
BMI,BMIOLD,8,0,0
BMI,BMIOLD,8,5,1
BMI,BMIOLD,8,0,0
BMI,BMIOLD,8,0,0
BMI,BMIOLD,8,4,1
BMI,BMIOLD,9,9,1
BMI,BMIOLD,9,5,1
BMI,BMIOLD,9,8,1
BMI,BMIOLD,9,0,0
BMI,BMIOLD,9,0,0
BMI,BMIOLD,9,1,1
BMI,BMIOLD,9,8,1
BMI,BMIPJTH,1,0,0
BMI,BMIPJTH,1,0,0
BMI,BMIPJTH,1,0,0
BMI,BMIPJTH,1,0,0
BMI,BMIPJTH,1,3,1
BMI,BMIPJTH,1,0,0
BMI,BMIPJTH,1,1,1
BMI,BMIPJTH,1,0,0
BMI,BMIPJTH,4,3,1
BMI,BMIPJTH,4,1,1
BMI,BMIPJTH,4,4,1
BMI,BMIPJTH,4,3,1
BMI,BMIPJTH,4,0,0
BMI,BMIPJTH,5,0,0
BMI,BMIPJTH,5,18,1
BMI,BMIPJTH,5,0,0
BMI,BMIPJTH,6,0,0
BMI,BMIPJTH,6,0,0
BMI,BMIPJTH,6,3,1
BMI,BMIPJTH,6,1,1
BMI,BMIPJTH,7,4,1
KSP,KSPWOFar,1,9,1
KSP,KSPWOFar,1,2,1
KSP,KSPWOFar,1,0,0
KSP,KSPWOFar,1,0,0
KSP,KSPWOFar,1,0,0
KSP,KSPWOFar,1,0,0
KSP,KSPWOFar,1,0,0
KSP,KSPWOFar,1,0,0
KSP,KSPWOFar,1,0,0
KSP,KSPWOFar,1,0,0
KSP,KSPWOFar,2,3,1
KSP,KSPWOFar,2,1,1
KSP,KSPWOFar,2,0,0
KSP,KSPWOFar,2,0,0
KSP,KSPWOFar,2,0,0
KSP,KSPWOFar,2,0,0
KSP,KSPWOFar,2,0,0
KSP,KSPWOFar,2,0,0
KSP,KSPWOFar,2,0,0
KSP,KSPWOFar,2,0,0
KSP,KSPWOFar,3,2,1
KSP,KSPWOFar,3,0,0
KSP,KSPWOFar,3,0,0
KSP,KSPWOFar,3,3,1
KSP,KSPWOFar,3,0,0
KSP,KSPWOFar,3,5,1
KSP,KSPWOFar,3,2,1
KSP,KSPWOFar,3,1,1
KSP,KSPWOFar,4,0,0
KSP,KSPWOFar,4,7,1
KSP,KSPWOFar,4,1,1
KSP,KSPWOFar,4,1,1
KSP,KSPWOFar,4,2,1
KSP,KSPWOFar,4,0,0
KSP,KSPWOFar,4,0,0
KSP,KSPWOFar,4,4,1
KSP,KSPWOFar,4,0,0
KSP,KSPWOFar,5,2,1
KSP,KSPWOFar,5,37,1
KSP,KSPWOFar,5,8,1
KSP,KSPWOFar,6,120,1
KSP,KSPWOFar,6,157,1
KSP,KSPWOFar,6,2,1
KSP,KSPWOFar,6,32,1
KSP,KSPWOFar,6,1,1
KSP,KSPWOFar,6,19,1
KSP,KSPWOFar,6,104,1
KSP,KSPWOFar,6,3,1
KSP,KSPWOFar,6,15,1
KSP,KSPWOFar,6,14,1
KSP,KSPWOFar,7,27,1
KSP,KSPWOFar,7,37,1
KSP,KSPWOFar,7,8,1
KSP,KSPWOFar,7,30,1
KSP,KSPWOFar,7,65,1
KSP,KSPWOFar,7,2,1
KSP,KSPWOFar,8,54,1
KSP,KSPWOFar,8,10,1
KSP,KSPWOFar,8,20,1
KSP,KSPWOFar,8,0,0
KSP,KSPWOFar,8,16,1
KSP,KSPWOFar,9,50,1
KSP,KSPWOFar,9,61,1
KSP,KSPWOFar,9,17,1
KSP,KSPWOFar,9,15,1
KSP,KSPWOFar,9,86,1
KSP,KSPWOFar,9,55,1
KSP,KSPWOFar,9,32,1
KSP,KSPWOFar,9,23,1
KSP,KSPWOFar,9,66,1
KSP,KSPWOFar,9,23,1
KSP,KSPWONear,1,0,0
KSP,KSPWONear,1,0,0
KSP,KSPWONear,1,0,0
KSP,KSPWONear,1,0,0
KSP,KSPWONear,2,0,0
KSP,KSPWONear,2,0,0
KSP,KSPWONear,2,0,0
KSP,KSPWONear,2,0,0
KSP,KSPWONear,2,0,0
KSP,KSPWONear,2,0,0
KSP,KSPWONear,2,0,0
KSP,KSPWONear,2,0,0
KSP,KSPWONear,2,0,0
KSP,KSPWONear,2,0,0
KSP,KSPWONear,3,0,0
KSP,KSPWONear,3,0,0
KSP,KSPWONear,3,0,0
KSP,KSPWONear,3,0,0
KSP,KSPWONear,5,9,1
KSP,KSPWONear,5,0,0
KSP,KSPWONear,5,4,1
KSP,KSPWONear,5,11,1
KSP,KSPWONear,5,2,1
KSP,KSPWONear,6,7,1
KSP,KSPWONear,6,2,1
KSP,KSPWONear,6,24,1
KSP,KSPWONear,6,18,1
KSP,KSPWONear,6,5,1
KSP,KSPWONear,6,0,0
KSP,KSPWONear,6,16,1
KSP,KSPWONear,6,9,1
KSP,KSPWONear,6,3,1
KSP,KSPWONear,6,2,1
KSP,KSPWONear,8,7,1
KSP,KSPWOTH,1,34,1
KSP,KSPWOTH,1,21,1
KSP,KSPWOTH,1,1,1
KSP,KSPWOTH,1,8,1
KSP,KSPWOTH,1,52,1
KSP,KSPWOTH,1,25,1
KSP,KSPWOTH,1,3,1
KSP,KSPWOTH,1,6,1
KSP,KSPWOTH,1,12,1
KSP,KSPWOTH,1,40,1
KSP,KSPWOTH,2,9,1
KSP,KSPWOTH,2,0,0
KSP,KSPWOTH,2,0,0
KSP,KSPWOTH,3,87,1
KSP,KSPWOTH,3,14,1
KSP,KSPWOTH,3,25,1
KSP,KSPWOTH,3,0,0
KSP,KSPWOTH,3,40,1
KSP,KSPWOTH,4,236,1
KSP,KSPWOTH,4,295,1
KSP,KSPWOTH,4,130,1
KSP,KSPWOTH,4,220,1
KSP,KSPWOTH,4,251,1
KSP,KSPWOTH,4,302,1
KSP,KSPWOTH,4,346,1
KSP,KSPWOTH,4,232,1
KSP,KSPWOTH,4,15,1
KSP,KSPWOTH,4,237,1
KSP,KSPWOTH,5,181,1
KSP,KSPWOTH,5,256,1
KSP,KSPWOTH,5,44,1
KSP,KSPWOTH,5,160,1
KSP,KSPWOTH,6,204,1
KSP,KSPWOTH,6,300,1
KSP,KSPWOTH,6,275,1
KSP,KSPWOTH,6,213,1
KSP,KSPWOTH,8,44,1
KSP,KSPWOTH,8,180,1
KSP,KSPWOTH,8,43,1
KSP,KSPWOTH,8,223,1
KSP,KSPWOTH,8,196,1
MER,MERFAR,2,10,1
MER,MERFAR,2,95,1
MER,MERFAR,2,47,1
MER,MERFAR,2,41,1
MER,MERFAR,2,3,1
MER,MERFAR,3,52,1
MER,MERFAR,3,61,1
MER,MERFAR,3,30,1
MER,MERFAR,3,26,1
MER,MERFAR,3,45,1
MER,MERFAR,3,68,1
MER,MERFAR,3,68,1
MER,MERFAR,3,80,1
MER,MERFAR,3,73,1
MER,MERFAR,3,75,1
MER,MERFAR,4,60,1
MER,MERFAR,4,37,1
MER,MERFAR,4,0,0
MER,MERFAR,4,20,1
MER,MERFAR,4,42,1
MER,MERFAR,5,17,1
MER,MERFAR,5,28,1
MER,MERFAR,5,22,1
MER,MERFAR,5,11,1
MER,MERFAR,5,38,1
MER,MERFAR,5,68,1
MER,MERFAR,5,11,1
MER,MERFAR,5,31,1
MER,MERFAR,5,30,1
MER,MERFAR,8,30,1
MER,MERFAR,8,10,1
MER,MERFAR,8,4,1
MER,MERNEWTHBUCKET,2,24,1
MER,MERNEWTHBUCKET,2,1,1
MER,MERNEWTHBUCKET,2,0,0
MER,MERNEWTHBUCKET,2,5,1
MER,MERNEWTHBUCKET,2,54,1
MER,MERNEWTHBUCKET,2,77,1
MER,MERNEWTHBUCKET,2,13,1
MER,MERNEWTHBUCKET,2,7,1
MER,MERNEWTHBUCKET,2,66,1
MER,MERNEWTHBUCKET,2,10,1
MER,MERNEWTHBUCKET,3,59,1
MER,MERNEWTHBUCKET,4,24,1
MER,MERNEWTHBUCKET,4,57,1
MER,MERNEWTHBUCKET,4,40,1
MER,MERNEWTHBUCKET,4,34,1
MER,MERNEWTHBUCKET,4,63,1
MER,MERNEWTHBUCKET,4,4,1
MER,MERNEWTHBUCKET,4,5,1
MER,MERNEWTHBUCKET,4,66,1
MER,MERNEWTHBUCKET,4,22,1
MER,MERNEWTHBUCKET,8,10,1
MER,MERNEWTHBUCKET,8,61,1
MER,MERNEWTHBUCKET,8,22,1
MER,MERNEWTHBUCKET,8,36,1
MER,MERNEWTHBUCKET,8,55,1
MER,MERNEWTHBUCKET,8,43,1
MER,MEROLD,2,0,0
MER,MEROLD,2,0,0
MER,MEROLD,2,13,1
MER,MEROLD,2,1,1
MER,MEROLD,2,0,0
MER,MEROLD,3,66,1
MER,MEROLD,3,47,1
MER,MEROLD,3,0,0
MER,MEROLD,3,30,1
MER,MEROLD,4,55,1
MER,MEROLD,4,37,1
MER,MEROLD,4,13,1
MER,MEROLD,4,20,1
MER,MEROLD,4,111,1
MER,MEROLD,5,211,1
MER,MEROLD,5,246,1
MER,MEROLD,5,43,1
MER,MEROLD,5,22,1
MER,MEROLD,5,151,1
MER,MEROLD,8,150,1
MER,MEROLD,8,141,1
MER,MEROLD,8,123,1
MER,MEROLD,8,69,1
MER,MEROLD,8,71,1
MER,MERTH1,2,10,1
MER,MERTH1,2,95,1
MER,MERTH1,2,47,1
MER,MERTH1,2,41,1
MER,MERTH1,2,3,1
MER,MERTH1,4,60,1
MER,MERTH1,4,37,1
MER,MERTH1,4,0,0
MER,MERTH1,4,40,1
MER,MERTH1,4,22,1
MER,MERTH2,3,1,1
MER,MERTH2,3,3,1
MER,MERTH2,3,2,1
MER,MERTH2,3,0,0
MER,MERTH2,3,6,1
PANP,PANPHill,1,0,0
PANP,PANPHill,1,0,0
PANP,PANPHill,1,0,0
PANP,PANPHill,1,0,0
PANP,PANPHill,4,1,1
PANP,PANPHill,4,0,0
PANP,PANPHill,4,0,0
PANP,PANPHill,4,0,0
PANP,PANPHill,4,0,0
PANP,PANPHill,4,0,0
PANP,PANPHill,4,0,0
PANP,PANPHill,4,0,0
PANP,PANPHill,4,0,0
PANP,PANPHill,5,1,1
PANP,PANPHill,6,0,0
PANP,PANPHill,6,0,0
PANP,PANPHill,6,0,0
PANP,PANPHill,6,0,0
